,0,1,2,3,4,5,6,7,8,9,10,11,12
32,Ahmedabad,25,-2,9,-3,60,4,0,0,0,0,78   ,01/01/2011
32,Ahmedabad,29,-1,15,1,53,-1,0,0,-2,0.0,78   ,01/02/2011
33,Ahmedabad,33,0,17,1,50,0,0,0,0,0.0,78   ,01/03/2011
31,Ahmedabad,36,-1,22,1,75,29,0,0,-1,0.0,78   ,01/04/2011
32,Ahmedabad,40,0,27,2,58,-2,0,0,-3,0.0,78   ,01/05/2011
33,Ahmedabad,42,2,29,2,66,-7,0,0,-1,0.0,78   ,01/06/2011
33,Ahmedabad,38,3,28,2,81,-2,0,15,-94,1.5,78   ,01/07/2011
26,Ahmedabad,35,3,26,1,92,6,0,315,-81,31.55,78   ,01/08/2011
32,Ahmedabad,33,1,27,3,95,13,TR,653,44,65.31,78   ,01/09/2011
31,Ahmedabad,33,-1,23,0,80,6,TR,0,-1,72.75,78   ,01/10/2011
32,Ahmedabad,33,-2,20,1,56,-2,0,0,-18,72.73,78   ,01/11/2011
31,Ahmedabad,32,0,18,4,51,-1,0,0,-27,72.73,78   ,01/12/2011
3,Ahmedabad,25,4,10,-2,60,4,0,0,0,0,78,02/01/2011
33,Ahmedabad,29,-,14,-,55,1,0,0,-3,0.0,78   ,02/02/2011
33,Ahmedabad,34,1,17,0,50,2,0,0,0,0.0,78   ,02/03/2011
33,Ahmedabad,37,-1,23,2,73,27,0,0,-1,0.0,78   ,02/04/2011
33,Ahmedabad,40,-1,26,1,65,5,0,0,-3,0.0,78   ,02/05/2011
33,Ahmedabad,41,1,29,2,65,-8,0,0,-3,0,78   ,02/06/2011
32,Ahmedabad,39,2,28,2,81,-2,0,15,-100,1.5,78   ,02/07/2011
32,Ahmedabad,33,1,26,1,91,5,0,315,-89,31.55,78   ,02/08/2011
31,Ahmedabad,32,0,23,-1,90,8,1,654,37,65.39,78   ,02/09/2011
30,Ahmedabad,34,0,23,0,87,13,0,0,-3,72.73,78   ,02/10/2011
30,Ahmedabad,34,-1,19,1,49,-6,0,73,-18,-,78   ,02/11/2011
30,Ahmedabad,33,2,19,5,47,-8,0,0,-27,72.73,78   ,02/12/2011
33,Ahmedabad,25,-4,11,-1,50,-6,0,0,0,0.0,78   ,03/01/2011
33,Ahmedabad,31,1,14,1,50,4,0,0,-3,0.0,78   ,03/02/2011
33,Ahmedabad,34,0,17,0,70,22,0,0,0,0.0,78   ,03/03/2011
33,Ahmedabad,37,-1,22,0,35,-11,0,0,-1,0.0,78   ,03/04/2011
25,Ahmedabad,41,0,25,1,75,15,0,0,-3,0.0,78   ,03/05/2011
30,Ahmedabad,40,0,30,3,65,-8,0,0,-5,0.0,78   ,03/06/2011
31,Ahmedabad,38,3,27,1,77,-6,0,15,-120,15.0,78   ,03/07/2011
32,Ahmedabad,33,1,26,1,85,-1,3,318,-93,31.8,78   ,03/08/2011
32,Ahmedabad,33,1,25,0,92,9,1,655,30,65.4,78   ,03/09/2011
31,Ahmedabad,34,0,23,0,84,15,0,0,-3,72.73,78   ,03/10/2011
28,Ahmedabad,34,0,22,4,60,5,0,0,-18,72.73,78   ,03/11/2011
32,Ahmedabad,32,1,19,5,47,-8,0,0,-27,72.73,78   ,03/12/2011
33,Ahmedabad,25,-4,13,1,60,4,0,0,0,0.0,78   ,04/01/2011
32,Ahmedabad,32,2,15,2,50,-4,0,0,-3,0.0,78   ,04/02/2011
32,Ahmedabad,37,-1,18,-3,33,-13,0,0,-1,0.0,78   ,04/04/2011
33,Ahmedabad,40,-1,26,1,75,15,0,0,-3,0.0,78   ,04/05/2011
32,Ahmedabad,41,1,30,3,58,-15,15,15,9,1.46,78   ,04/06/2011
31,Ahmedabad,38,3,27,1,76,7,0,15,-120,15.0,78   ,04/07/2011
30,Ahmedabad,34,2,26,1,90,5,0,318,-97,31.8,78   ,04/08/2011
32,Ahmedabad,34,1,25,0,94,11,17,672,40,67.17,78   ,04/09/2011
31,Ahmedabad,33,-2,23,0,81,12,0,0,-3,73,78   ,04/10/2011
32,Ahmedabad,34,0,24,6,65,10,0,0,-18,72.73,78   ,04/11/2011
3,Ahmedabad,33,2,17,3,68,13,0,0,-27,72.73,78,04/12/2011
30,Ahmedabad,25,-4,12,0,60,4,0,0,0,0.0,78   ,05/01/2011
33,Ahmedabad,33,3,14,0,80,27,0,0,-2,0,78   ,05/02/2011
33,Ahmedabad,34,0,18,,54,6,0,0,0,0.0,78   ,05/03/2011
32,Ahmedabad,37,-1,21,0,33,-13,0,0,-1,0.0,78   ,05/04/2011
32,Ahmedabad,41,2,30,3,60,-14,0,15,7,1.46,78   ,05/06/2011
3,Ahmedabad,38,3,28,2,80,-4,0,15,-129,1.5,78,05/07/2011
32,Ahmedabad,33,2,26,1,85,0,0,318,-104,31.8,78   ,05/08/2011
32,Ahmedabad,34,1,26,1,100,17,10,682,44,68.20,78   ,05/09/2011
19,Ahmedabad,34,-1,19,-4,68,-1,0,0,-4,72.73,78   ,05/10/2011
31,Ahmedabad,35,1,22,4,60,5,0,0,-18,72.73,78   ,05/11/2011
32,Ahmedabad,35,4,18,4,67,12,0,0,-27,72.73,78   ,05/12/2011
33,Ahmedabad,26,-3,11,-1,60,5,0,0,-1,0.0,78   ,06/01/2011
33,Ahmedabad,31,1,14,0,85,32,0,0,-3,0,78   ,06/02/2011
33,Ahmedabad,34,0,15,-2,49,1,0,0,0,0,78   ,06/03/2011
32,Ahmedabad,38,0,20,-2,30,-17,0,0,-1,0.0,78   ,06/04/2011
30,Ahmedabad,40,-1,25,0,64,4,0,0,-3,0.0,78   ,06/05/2011
32,Ahmedabad,43,4,30,3,60,-14,0,15,5,1.46,78   ,06/06/2011
31,Ahmedabad,39,5,29,3,80,-4,0,15,-138,1.50,78   ,06/07/2011
31,Ahmedabad,34,2,27,2,86,1,0,318,-110,31.80,78   ,06/08/2011
32,Ahmedabad,32,-1,25,0,100,17,7,689,43,68.86,78   ,06/09/2011
32,Ahmedabad,34,-1,23,0,68,-1,0,0,-4,72.73,78   ,06/10/2011
31,Ahmedabad,35,1,21,3,60,5,0,0,-18,73,78   ,06/11/2011
31,Ahmedabad,34,3,17,3,69,14,0,0,-27,72.73,78   ,06/12/2011
32,Ahmedabad,26,-3,10,-2,63,8,0,0,-1,0.0,78   ,07/01/2011
29,Ahmedabad,31,1,17,3,95,42,0,0,-3,0,78   ,07/02/2011
32,Ahmedabad,35,1,18,1,47,-1,0,0,0,0.0,78   ,07/03/2011
33,Ahmedabad,39,0,21,-1,33,-14,0,0,-1,0.0,78   ,07/04/2011
32,Ahmedabad,40,-1,27,1,70,7,0,0,-4,0.0,78   ,07/05/2011
32,Ahmedabad,43,4,31,4,68,-6,0,15,3,1.46,78   ,07/06/2011
32,Ahmedabad,36,2,29,3,80,-4,0,15,-148,1.5,78   ,07/07/2011
32,Ahmedabad,34,2,27,2,86,1,0,318,-117,31.80,78   ,07/08/2011
31,Ahmedabad,28,-5,25,0,95,12,5,693,38,69.33,78   ,07/09/2011
32,Ahmedabad,35,0,23,0,73,4,0,0,-6,72.73,78   ,07/10/2011
32,Ahmedabad,36,2,21,4,55,2,0,0,-18,72.73,78   ,07/11/2011
30,Ahmedabad,33,2,15,2,65,9,0,0,-27,72.73,78   ,07/12/2011
32,Ahmedabad,27,-2,8,-4,75,20,0,0,-1,0.0,78   ,08/01/2011
31,Ahmedabad,31,1,17,3,95,42,0,0,-3,0,78   ,08/02/2011
33,Ahmedabad,36,2,19,2,48,0,0,0,0,0.0,78   ,08/03/2011
33,Ahmedabad,40,1,22,0,60,13,0,0,-1,0.0,78   ,08/04/2011
31,Ahmedabad,40,1,27,1,66,3,0,0,-5,0.0,78   ,08/05/2011
32,Ahmedabad,43,4,29,2,63,-11,0,5,3,1.4,78   ,08/06/2011
32,Ahmedabad,38,-4,24,-2,95,11,38,53,-117,5.34,78   ,08/07/2011
28,Ahmedabad,33,1,27,1,85,0,TR,318,-125,318.0,78   ,08/08/2011
32,Ahmedabad,27,-6,25,1,95,13,9,702,34,70.21,78   ,08/09/2011
30,Ahmedabad,35,-1,23,1,77,10,0,0,-9,72.73,78   ,08/10/2011
29,Ahmedabad,35,1,22,5,59,6,0,0,-19,72.73,78   ,08/11/2011
31,Ahmedabad,33,3,15,2,71,15,0,0,-27,72.73,78   ,08/12/2011
33,Ahmedabad,29,0,10,-2,70,15,0,0,-1,0,78   ,09/01/2011
32,Ahmedabad,31,1,15,2,63,10,0,0,-3,0,78   ,09/02/2011
33,Ahmedabad,35,1,17,0,50,2,0,0,0,0.0,78   ,09/03/2011
32,Ahmedabad,39,0,23,1,62,15,0,0,-1,0.0,78   ,09/04/2011
32,Ahmedabad,40,1,28,1,76,2,0,15,2,1.46,78   ,09/06/2011
32,Ahmedabad,32,-2,23,-1,99,15,30,83,-100,8.35,78   ,09/07/2011
28,Ahmedabad,30,-2,25,0,98,14,13,331,-120,33.06,78   ,09/08/2011
32,Ahmedabad,32,-1,25,1,90,8,0,702,25,70.21,78   ,09/09/2011
30,Ahmedabad,36,0,24,1,78,11,0,0,-10,72.73,78   ,09/10/2011
29,Ahmedabad,36,2,20,3,54,-1,0,0,-20,72.73,78   ,09/11/2011
31,Ahmedabad,33,3,16,3,72,16,0,0,-27,72.73,78   ,09/12/2011
33,Ahmedabad,27,-2,10,-2,40,-15,0,0,-1,0.0,78   ,10/01/2011
33,Ahmedabad,31,1,15,1,53,1,0,0,3,0.0,78   ,10/02/2011
33,Ahmedabad,32,-2,14,-3,44,-4,0,0,0,0.0,78   ,10/03/2011
32,Ahmedabad,39,0,25,3,39,-8,0,0,-1,0.0,78   ,10/04/2011
3,Ahmedabad,42,1,26,0,75,12,0,0,-8,0.0,78,10/05/2011
33,Ahmedabad,39,0,28,1,67,-9,0,15,1,1.46,78   ,10/06/2011
33,Ahmedabad,27,-7,24,-2,98,13,5,89,-103,8.85,78   ,10/07/2011
31,Ahmedabad,27,-3,23,-2,98,14,34,365,-96,36.45,78   ,10/08/2011
31,Ahmedabad,32,-1,25,1,94,12,1,703,19,70.32,78   ,10/09/2011
29,Ahmedabad,36,0,24,2,70,3,0,0,-12,72.73,78   ,10/10/2011
31,Ahmedabad,35,1,18,1,56,3,0,0,-20,72.73,78   ,10/11/2011
31,Ahmedabad,32,2,17,4,65,9,0,27,73,-,78   ,10/12/2011
33,Ahmedabad,26,-3,9,-3,45,-15,0,0,-1,0,78   ,11/01/2011
31,Ahmedabad,31,0,16,2,50,-2,0,0,-3,0.0,78   ,11/02/2011
32,Ahmedabad,33,-1,13,-4,32,-16,0,0,0,0.0,78   ,11/03/2011
33,Ahmedabad,40,1,24,1,50,2,0,0,-1,0.0,78   ,11/04/2011
30,Ahmedabad,42,1,26,0,65,-1,0,0,-8,0.0,78   ,11/05/2011
32,Ahmedabad,39,0,28,1,60,-16,0,15,-1,1.46,78   ,11/06/2011
32,Ahmedabad,28,-6,24,-2,98,13,105,193,-4,19,78   ,11/07/2011
31,Ahmedabad,28,-4,24,-1,98,14,53,417,-54,41.7,78   ,11/08/2011
29,Ahmedabad,31,-2,25,1,97,15,1,704,11,704.1,78   ,11/09/2011
31,Ahmedabad,37,1,23,1,64,-3,0,0,-13,72.73,78   ,11/10/2011
3,Ahmedabad,36,2,17,0,58,5,0,0,-20,72.73,78,11/11/2011
31,Ahmedabad,30,0,11,-2,47,-9,0,0,-27,72.73,78   ,11/12/2011
33,Ahmedabad,27,-2,9,-3,45,-10,0,0,-1,-,78   ,12/01/2011
33,Ahmedabad,33,2,16,2,70,18,0,0,-3,0.0,78   ,12/02/2011
33,Ahmedabad,33,-1,16,-2,38,-9,0,0,0,0.0,78   ,12/03/2011
32,Ahmedabad,40,1,27,4,47,-1,0,0,-1,0.0,78   ,12/04/2011
30,Ahmedabad,41,0,26,0,70,4,0,0,-8,0,78   ,12/05/2011
31,Ahmedabad,40,1,28,1,72,-4,0,15,-3,1.46,78   ,12/06/2011
33,Ahmedabad,32,-2,24,-2,85,0,39,232,27,2.32,78   ,12/07/2011
32,Ahmedabad,27,-5,23,-2,98,12,15,432,-44,43.19,78   ,12/08/2011
30,Ahmedabad,28,-5,25,1,95,13,7,711,14,71.1,78   ,12/09/2011
30,Ahmedabad,36,0,23,1,62,-5,0,0,-13,72.73,78   ,12/10/2011
30,Ahmedabad,36,2,19,,61,9,0,0,-20,72.73,78   ,12/11/2011
31,Ahmedabad,27,-3,11,-2,45,-11,0,0,-28,72.73,78   ,12/12/2011
32,Ahmedabad,29,0,10,-2,75,20,0,0,-1,0,78   ,13/01/2011
32,Ahmedabad,35,4,17,3,75,23,0,0,-3,0,78   ,13/02/2011
33,Ahmedabad,33,-2,16,-2,33,-14,0,0,0,0,78   ,13/03/2011
31,Ahmedabad,39,0,27,4,45,-3,0,0,-1,0.0,78   ,13/04/2011
30,Ahmedabad,41,0,27,1,70,4,0,0,-8,0.0,78   ,13/05/2011
31,Ahmedabad,39,0,27,0,76,0,0,15,-6,1.46,78   ,13/06/2011
31,Ahmedabad,34,0,26,0,90,5,0,232,19,232.0,78   ,13/07/2011
29,Ahmedabad,26,-6,24,-1,100,16,89,520,35,520.4,78   ,13/08/2011
32,Ahmedabad,34,1,25,1,95,15,8,719,16,71.91,78   ,13/09/2011
31,Ahmedabad,37,1,23,2,64,-1,0,0,-14,72.73,78   ,13/10/2011
31,Ahmedabad,35,2,19,3,63,11,0,0,-20,72.73,78   ,13/11/2011
30,Ahmedabad,28,-2,14,1,59,3,0,0,-28,72.73,78   ,13/12/2011
32,Ahmedabad,29,0,13,1,95,40,0,0,-1,0.0,78   ,14/01/2011
33,Ahmedabad,31,0,17,3,80,28,0,0,-3,0,78   ,14/02/2011
33,Ahmedabad,37,2,17,-1,37,-10,0,00,0,0,78   ,14/03/2011
33,Ahmedabad,39,0,27,4,58,10,0,0,-1,0.0,78   ,14/04/2011
30,Ahmedabad,41,0,27,1,74,8,0,0,-8,0.0,78   ,14/05/2011
32,Ahmedabad,39,0,28,1,71,-5,0,15,-8,1.46,78   ,14/06/2011
31,Ahmedabad,33,-1,26,0,90,5,3,235,7,23,78   ,14/07/2011
31,Ahmedabad,32,0,26,1,100,16,11,532,41,53.18,78   ,14/08/2011
32,Ahmedabad,32,-1,25,1,95,15,1,720,15,72.01,78   ,14/09/2011
29,Ahmedabad,37,1,25,4,74,9,0,0,-14,72.73,78   ,14/10/2011
31,Ahmedabad,35,2,19,3,59,7,0,0,-21,72.73,78   ,14/11/2011
30,Ahmedabad,28,-2,14,1,60,4,0,0,-28,72.73,78   ,14/12/2011
32,Ahmedabad,27,-2,13,1,90,35,0,0,-1,0.0,78   ,15/01/2011
32,Ahmedabad,32,1,19,3,80,30,0,0,-3,0,78   ,15/02/2011
33,Ahmedabad,38,3,20,2,45,-2,0,0,0,0.0,78   ,15/03/2011
33,Ahmedabad,40,1,27,4,60,12,0,0,-2,0.0,78   ,15/04/2011
30,Ahmedabad,41,0,27,1,67,1,0,0,-8,0.0,78   ,15/05/2011
32,Ahmedabad,40,1,29,2,70,-7,0,15,-11,1.46,78   ,15/06/2011
33,Ahmedabad,33,-1,27,1,-,-,0,235,2,23.48,78   ,15/07/2011
31,Ahmedabad,30,2,25,0,100,16,43,574,81,57.44,78   ,15/08/2011
29,Ahmedabad,31,-2,25,1,96,16,0,720,13,72.01,78   ,15/09/2011
31,Ahmedabad,37,1,24,3,65,0,0,0,-15,72.73,78   ,15/10/2011
29,Ahmedabad,35,2,19,3,56,4,0,0,-21,72.73,78   ,15/11/2011
32,Ahmedabad,29,-1,13,0,70,14,0,0,-28,72.73,78   ,15/12/2011
32,Ahmedabad,27,-,10,-,38,-17,0,0,-1,0.0,78   ,16/01/2011
33,Ahmedabad,29,-2,17,2,65,13,0,0,-3,0,78   ,16/02/2011
32,Ahmedabad,39,4,22,4,40,-7,0,0,0,0.00,78   ,16/03/2011
32,Ahmedabad,40,1,27,4,61,12,0,0,-2,0.0,78   ,16/04/2011
31,Ahmedabad,42,1,28,2,70,2,0,0,-9,0,78   ,16/05/2011
30,Ahmedabad,39,1,29,2,75,-5,0,15,-14,1.46,78   ,16/06/2011
33,Ahmedabad,35,2,27,1,95,9,0,235,-6,23,78   ,16/07/2011
30,Ahmedabad,28,3,25,0,95,11,1,576,77,57.56,78   ,16/08/2011
26,Ahmedabad,33,0,25,1,85,5,0,720,10,72.01,78   ,16/09/2011
19,Ahmedabad,37,1,23,2,65,3,0,0,-15,72.73,78,16/10/2011
28,Ahmedabad,35,2,19,3,60,8,0,0,-21,72.73,78   ,16/11/2011
32,Ahmedabad,25,-4,7,-5,50,-5,0,0,-1,0.0,78   ,17/01/2011
33,Ahmedabad,29,-,13,-,75,23,0,0,-3,0.0,78   ,17/02/2011
32,Ahmedabad,39,4,20,2,39,-8,0,0,0,0.0,78   ,17/03/2011
33,Ahmedabad,41,1,26,3,65,16,0,0,-2,0.0,78   ,17/04/2011
32,Ahmedabad,41,0,28,2,70,2,0,0,-9,0,78   ,17/05/2011
31,Ahmedabad,39,1,29,2,70,-7,TR,15,-14,2,78   ,17/06/2011
33,Ahmedabad,35,2,27,1,81,-5,0,235,-14,23.5,78   ,17/07/2011
30,Ahmedabad,32,0,25,0,91,7,1,576,69,57.62,78   ,17/08/2011
32,Ahmedabad,33,0,25,1,92,12,2,722,11,72.21,78   ,17/09/2011
30,Ahmedabad,34,1,16,0,70,18,0,0,-21,72.73,78   ,17/11/2011
31,Ahmedabad,30,0,15,3,51,-5,0,0,-28,72.73,78   ,17/12/2011
32,Ahmedabad,29,0,10,-2,70,15,0,0,-1,0.0,78   ,18/01/2011
33,Ahmedabad,28,-3,15,0,45,-7,0,0,-3,0.0,78   ,18/02/2011
30,Ahmedabad,41,5,23,4,40,-7,0,0,0,0.0,78   ,18/03/2011
26,Ahmedabad,39,-1,26,3,45,-4,0,0,-2,0.0,78   ,18/04/2011
32,Ahmedabad,43,2,28,2,70,2,0,0,-9,0.0,78   ,18/05/2011
33,Ahmedabad,39,1,29,2,71,-6,0,15,-19,15.0,78   ,18/06/2011
32,Ahmedabad,35,2,26,0,89,-3,0,235,-27,23.5,78   ,18/07/2011
31,Ahmedabad,33,1,26,1,90,6,0,576,58,57.62,78   ,18/08/2011
30,Ahmedabad,33,0,24,0,93,15,4,726,13,72.61,78   ,18/09/2011
31,Ahmedabad,37,1,23,2,65,3,0,0,-16,72.73,78   ,18/10/2011
30,Ahmedabad,35,2,16,0,66,14,0,22,73,-,78   ,18/11/2011
3,Ahmedabad,29,0,15,3,58,2,0,0,-28,72.73,78,18/12/2011
33,Ahmedabad,28,-1,13,1,60,5,0,0,-1,0.0,78   ,19/01/2011
33,Ahmedabad,29,-2,14,-1,70,18,0,0,-3,0.0,78   ,19/02/2011
30,Ahmedabad,40,4,18,-1,43,-4,0,0,0,0.0,78   ,19/03/2011
32,Ahmedabad,39,-1,21,-2,35,-14,0,0,-2,0.0,78   ,19/04/2011
32,Ahmedabad,42,1,28,2,65,-3,0,0,-9,0.0,78   ,19/05/2011
33,Ahmedabad,39,1,29,2,70,-7,0,15,-20,1.50,78   ,19/06/2011
33,Ahmedabad,35,1,24,-2,92,6,43,278,3,277.7,78   ,19/07/2011
30,Ahmedabad,33,1,26,2,91,7,0,576,52,57.62,78   ,19/08/2011
31,Ahmedabad,32,-1,25,1,90,12,TR,726,12,72.63,78   ,19/09/2011
31,Ahmedabad,34,1,15,-1,66,14,0,0,-22,72.73,78   ,19/11/2011
32,Ahmedabad,30,1,13,1,57,1,0,0,-28,72.73,78   ,19/12/2011
33,Ahmedabad,28,-1,11,-1,45,-10,0,0,-1,0,78   ,20/01/2011
33,Ahmedabad,29,-2,14,-1,55,4,0,0,-3,0,78   ,20/02/2011
32,Ahmedabad,38,2,21,2,76,29,0,0,0,0,78   ,20/03/2011
33,Ahmedabad,39,-1,23,0,35,-14,0,0,-2,0.0,78   ,20/04/2011
32,Ahmedabad,43,2,28,2,62,-6,0,0,-11,0.0,78   ,20/05/2011
33,Ahmedabad,39,1,29,2,75,-4,0,15,-25,1.50,78   ,20/06/2011
33,Ahmedabad,33,0,26,1,87,1,0,278,-10,277.7,78   ,20/07/2011
32,Ahmedabad,33,1,26,2,92,8,TR,576,44,576.4,78   ,20/08/2011
30,Ahmedabad,33,3,24,0,-,-,0,726,9,73,78   ,20/09/2011
31,Ahmedabad,34,1,17,1,65,13,0,0,-22,72.73,78   ,20/11/2011
32,Ahmedabad,30,1,12,0,69,13,0,0,-28,78.73,78   ,20/12/2011
32,Ahmedabad,28,-1,11,-1,47,-7,0,0,-1,0,78   ,21/01/2011
32,Ahmedabad,29,-3,15,0,55,4,0,0,-3,0.0,78   ,21/02/2011
29,Ahmedabad,37,1,20,1,51,4,0,0,0,0,78   ,21/03/2011
33,Ahmedabad,40,0,25,1,36,-16,0,0,-2,0.0,78   ,21/04/2011
32,Ahmedabad,42,1,28,2,64,-4,0,0,-11,0.0,78   ,21/05/2011
33,Ahmedabad,39,2,29,2,75,-4,0,15,-28,1.50,78   ,21/06/2011
33,Ahmedabad,34,1,27,2,90,4,0,278,-19,27.77,78   ,21/07/2011
31,Ahmedabad,31,-1,24,0,100,16,29,605,69,60.49,78   ,21/08/2011
31,Ahmedabad,33,0,24,0,95,17,0,726,7,72.63,78   ,21/09/2011
32,Ahmedabad,35,2,17,1,64,12,0,0,-23,72.73,78   ,21/11/2011
33,Ahmedabad,30,1,12,0,70,16,0,0,-2,0.0,78   ,22/01/2011
33,Ahmedabad,29,-3,16,1,53,2,0,0,-3,0.0,78   ,22/02/2011
30,Ahmedabad,37,0,20,0,73,26,0,0,0,0,78   ,22/03/2011
32,Ahmedabad,41,1,23,-1,23,-29,0,0,-2,0,78   ,22/04/2011
31,Ahmedabad,40,0,29,2,67,-1,0,0,-11,0.0,78   ,22/05/2011
33,Ahmedabad,38,1,29,2,75,-4,0,15,-35,1.5,78   ,22/06/2011
33,Ahmedabad,33,0,27,-6,90,4,0,278,-25,27.77,78   ,22/07/2011
32,Ahmedabad,29,-3,25,1,95,11,3,608,70,60.84,78   ,22/08/2011
31,Ahmedabad,32,-1,24,0,90,12,0,726,6,72.63,78   ,22/09/2011
29,Ahmedabad,34,1,13,-2,49,-3,0,0,-23,72.73,78   ,22/11/2011
29,Ahmedabad,30,1,14,2,70,14,0,0,-29,73,78   ,22/12/2011
33,Ahmedabad,31,-1,13,-2,50,-1,0,0,-3,0,78   ,23/02/2011
33,Ahmedabad,36,-1,20,0,80,33,0,0,0,0.0,78   ,23/03/2011
33,Ahmedabad,41,1,22,-2,23,-29,0,0,-2,0,78   ,23/04/2011
32,Ahmedabad,40,0,28,1,76,5,0,0,-11,0.0,78   ,23/05/2011
32,Ahmedabad,39,2,29,2,73,-6,0,15,-39,1.5,78   ,23/06/2011
32,Ahmedabad,33,0,27,2,90,4,0,278,-30,27.77,78   ,23/07/2011
32,Ahmedabad,32,0,26,1,89,5,0,608,68,60.84,78   ,23/08/2011
31,Ahmedabad,33,0,25,1,95,19,0,726,4,72.63,78   ,23/09/2011
30,Ahmedabad,37,2,19,-1,53,-7,0,0,-16,727.3,78   ,23/10/2011
30,Ahmedabad,33,1,18,3,51,-1,0,0,-29,72.73,78   ,23/11/2011
31,Ahmedabad,30,1,15,3,72,16,0,0,-29,72.73,78   ,23/12/2011
31,Ahmedabad,30,1,13,1,75,21,0,0,-2,0.0,78   ,24/01/2011
33,Ahmedabad,32,0,14,-1,50,-1,0,0,-3,0.0,78   ,24/02/2011
33,Ahmedabad,36,-1,20,0,60,13,0,0,0,0.0,78   ,24/03/2011
32,Ahmedabad,42,2,23,-1,23,-29,0,0,-2,0.0,78   ,24/04/2011
31,Ahmedabad,40,0,29,2,70,0,0,0,-11,0,78   ,24/05/2011
33,Ahmedabad,34,-3,29,2,75,-4,TR,15,-44,1.50,78   ,24/06/2011
31,Ahmedabad,29,-4,26,1,95,9,2,279,-37,27.94,78   ,24/07/2011
32,Ahmedabad,33,1,26,2,92,9,0,608,56,60.84,78   ,24/08/2011
31,Ahmedabad,33,1,24,0,90,4,0,726,0,72.63,78   ,24/09/2011
28,Ahmedabad,37,2,19,-1,66,6,0,16,727,-,78   ,24/10/2011
30,Ahmedabad,31,-1,18,3,62,10,0,0,-24,72.73,78   ,24/11/2011
30,Ahmedabad,29,0,14,2,80,24,0,0,-29,73,78   ,24/12/2011
33,Ahmedabad,30,1,13,1,70,16,0,0,-2,0.0,78   ,25/01/2011
33,Ahmedabad,32,0,14,-1,47,-3,0,0,-3,0,78   ,25/02/2011
33,Ahmedabad,37,0,22,2,70,23,0,0,0,0.0,78   ,25/03/2011
30,Ahmedabad,41,1,28,1,70,-1,0,0,-11,0,78   ,25/05/2011
28,Ahmedabad,36,-1,29,2,75,-5,0,15,-52,1.5,78   ,25/06/2011
33,Ahmedabad,32,-1,26,1,94,7,2,281,-42,28.14,78   ,25/07/2011
32,Ahmedabad,31,-1,26,2,90,7,TR,609,51,60.86,78   ,25/08/2011
31,Ahmedabad,34,0,25,1,90,14,0,726,-2,72.63,78   ,25/09/2011
30,Ahmedabad,37,2,20,0,57,-3,0,0,-16,72.73,78   ,25/10/2011
32,Ahmedabad,31,-1,18,3,0.0,62,10,0,-25,727.3,78   ,25/11/2011
33,Ahmedabad,29,0,11,-1,50,-4,0,0,-2,0.0,78   ,26/01/2011
33,Ahmedabad,31,-2,14,-2,56,6,0,0,-3,0,78   ,26/02/2011
33,Ahmedabad,38,1,19,-1,42,-5,0,0,0,0.0,78   ,26/03/2011
33,Ahmedabad,43,3,26,2,52,-2,0,0,-2,0.0,78   ,26/04/2011
31,Ahmedabad,41,1,29,2,65,-7,0,11,-11,0.0,78   ,26/05/2011
32,Ahmedabad,37,0,28,1,69,-1,0,15,-58,1.5,78   ,26/06/2011
33,Ahmedabad,31,1,26,1,83,-4,15,296,-38,29.61,78   ,26/07/2011
32,Ahmedabad,32,0,25,1,90,7,9,617,55,61.71,78   ,26/08/2011
32,Ahmedabad,33,-1,24,0,89,13,1,727,-2,72.73,78   ,26/09/2011
28,Ahmedabad,36,1,19,-1,48,-12,0,0,-17,72.73,78   ,26/10/2011
32,Ahmedabad,31,-1,18,3,60,8,0,0,-29,72.73,78   ,26/11/2011
29,Ahmedabad,29,0,9,-3,79,23,0,0,-29,72.73,78   ,26/12/2011
32,Ahmedabad,27,-2,12,-1,50,-4,0,0,-2,0.0,78   ,27/01/2011
33,Ahmedabad,32,-1,17,1,50,0,0,0,-3,0.0,78   ,27/02/2011
32,Ahmedabad,39,2,21,1,37,-10,0,0,-1,0.0,78   ,27/03/2011
32,Ahmedabad,42,2,27,3,52,-2,0,0,-3,0.0,78   ,27/04/2011
32,Ahmedabad,41,1,28,1,65,-7,0,0,-12,0.00,78   ,27/05/2011
33,Ahmedabad,38,1,29,2,70,-10,0,15,-68,1.50,78   ,27/06/2011
33,Ahmedabad,35,5,26,1,86,-1,0,296,-51,296.1,78   ,27/07/2011
31,Ahmedabad,32,0,25,1,93,9,5,622,54,62.16,78   ,27/08/2011
32,Ahmedabad,33,-1,23,-1,84,8,0,727,-8,727.3,78   ,27/09/2011
31,Ahmedabad,36,1,20,0,55,-5,0,0,-,22.73,78   ,27/10/2011
3,Ahmedabad,31,-1,17,3,68,16,0,0,-26,72.73,78,27/11/2011
31,Ahmedabad,29,0,9,-3,62,6,0,0,-29,72.73,78   ,27/12/2011
33,Ahmedabad,27,-2,14,1,65,11,0,0,-2,0,78   ,28/01/2011
33,Ahmedabad,31,2,18,2,50,0,0,0,-3,0.0,78   ,28/02/2011
33,Ahmedabad,40,3,19,-1,42,-5,0,0,-1,0.0,78   ,28/03/2011
32,Ahmedabad,42,2,27,3,40,-14,0,0,-3,0.0,78   ,28/04/2011
